Name,Formal Name,Categories,Features,Layouts,Max Capacity
100-101K,"100-101K, Bldg.100, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊBlue-Ray,ÊProjection Screen, Fixed/Adjustable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],26
110-101,"110-101, Bldg.110, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊBlinds, Blackout,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed,ÊWindow",Seminar [SEM],16
110-114,"110-114, Bldg.110, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blackboard, Fixed,ÊBlinds, Blackout,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊWindow",Seminar [SEM],16
120-314,"120-314, McClatchy Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWindow",Seminar [SEM],14
120-414,"120-414, McClatchy Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWindow",Seminar [SEM],10
120-59,"120-59, McClatchy Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊSeminar Room",Seminar [SEM],22
160-120,"160-120, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Flexible Seating,ÊPlasma screen,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVideo Capture Capable,Whiteboard, Fixed",Seminar [SEM],20
160-123,"160-123, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Flex Room,ÊFlexible Seating,ÊSmartpanel, Docking Station,ÊVideo Capture Capable,ÊWhiteboard, Fixed",Flex [FLEX],20
160-124,"160-124, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Access, Wheelchair,ÊFlex Room,ÊFlexible Seating,ÊMicroTile,ÊMicrophone, Wireless,ÊSmartpanel, Docking Station,ÊVideo Capture Capable,ÊVideo Conference Capable,ÊWhiteboard, Fixed",Flex [FLEX],55
160-125,"160-125, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Flex Room,ÊFlexible Seating,ÊSmartpanel, Docking Station,ÊVideo Capture Capable,ÊWhiteboard, Fixed",Flex [FLEX],20
160-127,"160-127, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Flex Room,ÊFlexible Seating,ÊSmartpanel, Docking Station,ÊVideo Capture Capable,ÊWhiteboard, Fixed",Flex [FLEX],25
160-314,"160-314, Wallenberg Hall, Main Quad","Registrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed,Window",Seminar [SEM],28
160-315,"160-315, Wallenberg Hall, Main Quad","Registrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed",Seminar [SEM],28
160-317,"160-317, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed,ÊWindow",Seminar [SEM],26
160-318,"160-318, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed,ÊWindow",Seminar [SEM],26
160-319,"160-319, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed,ÊWindow",Seminar [SEM],27
